AccountIndustry,AccountName,AccountOwner,AccountId,Amount,CloseDate,DaysSinceLastActivity,ForecastCategory,Id,IsClosed,IsWon,OpportunityName,OpportunityAge,OpportunityOwner,OwnerId,RecordTypeName,StageName,Stage,LeadSource,StageSortOrder,TimeInStageDurationSeconds,Probability,analyticsdemo_batch_id__c
Government,T 3 Technologies Inc,Beth Crawford,001B000000WJE2UIAX,25000,2018-01-07,426,Omitted,006B00000049UxqIAE,true,false,T 3 Technologies Inc 189,7,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,36928043,0,20190709111258551478
Electronics,Duke Realty Corporation,Courtney Brown,001B000000SS3gJIAT,3488,2018-04-01,367,Omitted,006B00000049UxrIAE,true,false,Duke Realty Corporation 197,34,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Reseller,9,29613475,0,20190709111258551478
Apparel,AGRIS Corp.,Sheri Nunez,001B000000SS3gKIAT,403,2017-10-22,510,Omitted,006B00000049UxsIAE,true,false,AGRIS Corp. 204,13,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,43334005,0,20190709111258551478
Apparel,AGRIS Corp.,Sheri Nunez,001B000000SS3gKIAT,19737,2018-08-27,199,Omitted,006B00000049UxtIAE,true,false,AGRIS Corp. 210,29,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,17394962,0,20190709111258551478
Agriculture,Hebert Research,Ann Jones,001B000000SS3gLIAT,17151,2019-04-01,20,Best Case,006B00000049UxuIAE,false,false,Hebert Research 221,21,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Qualification,Reseller,2,4397716,20,20190709111258551478
Apparel,Absolute Home Security,Sheri Nunez,001B000000lwNpwIAE,3220,2018-04-25,317,Omitted,006B00000049UxvIAE,true,false,Absolute Home Security 224,2,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,27375774,0,20190709111258551478
Communications,Whittier Partners,Jordan Wolf,001B000000bwMVRIA2,19377,2019-02-28,20,Omitted,006B00000049UxwIAE,true,false,Whittier Partners 227,29,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,1903307,0,20190709111258551478
Communications,Whittier Partners,Jordan Wolf,001B000000bwMVRIA2,2500,2017-10-28,503,Omitted,006B00000049UxxIAE,true,false,Whittier Partners 238,39,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,43187328,0,20190709111258551478
Not For Profit,Advanced Tel Com Group Inc,Alicia Harrison,001B000000SS3gNIAT,28636,2018-03-31,357,Closed,006B00000049UxyIAE,true,true,Advanced Tel Com Group Inc 14,31,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Won,Closed Won,Telesales,8,30616417,100,20190709111258551478
Not For Profit,Cms Marketing Svc & Trading,Ann Jones,001B000000lwNpxIAE,25000,2018-05-03,336,Omitted,006B00000049UxzIAE,true,false,Cms Marketing Svc & Trading 25,39,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,27386215,0,20190709111258551478
Energy,Adams Golf,Jordan Wolf,001B000000WJE2WIAX,500,2017-11-17,484,Omitted,006B00000049Uy0IAE,true,false,Adams Golf 66,35,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,41836154,0,20190709111258551478
Energy,Adams Golf,Jordan Wolf,001B000000WJE2WIAX,1500,2018-09-22,187,Closed,006B00000049Uy1IAE,true,true,Adams Golf 71,33,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Fields Sales,8,18804072,100,20190709111258551478
Consulting,Exluna,Beth Crawford,001B000000SS4dhIAD,0,2019-03-11,31,Commit,006B00000049Uy2IAE,false,false,Exluna 86,32,Beth Crawford,005B0000003CnfKIAS,Simple,Discovery,Discovery,Telesales,0,18804072,0,20190709111258551478
Shipping,The Trades Guild.com,Jordan Wolf,001B000000SS3gTIAT,75000,2018-03-08,398,Omitted,006B00000049Uy3IAE,true,false,The Trades Guild.com 119,35,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Other,9,31802780,0,20190709111258551478
Shipping,The Trades Guild.com,Jordan Wolf,001B000000SS3gTIAT,15000,2018-03-19,381,Closed,006B00000049Uy4IAE,true,true,The Trades Guild.com 126,43,Ann Jones,005B0000003CnfWIAS,Simple,Closed Won,Closed Won,Fields Sales,8,30597838,100,20190709111258551478
Other,Vibes Technologies d/b/a Black Box Resale Services,Jordan Wolf,001B000000SS4dkIAD,43964,2018-07-20,237,Omitted,006B00000049Uy5IAE,true,false,Vibes Technologies d/b/a Black Box Resale Services 173,9,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,20153301,0,20190709111258551478
Apparel,Acutherm,Sheri Nunez,001B000000SS3gUIAT,361,2019-01-20,63,Omitted,006B00000049Uy6IAE,true,false,Acutherm 197,17,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,4626679,0,20190709111258551478
Food & Beverage,Think & Do Software,Amy Shaw,001B000000SS4dqIAD,2106,2018-01-14,436,Closed,006B00000049Uy7IAE,true,true,Think & Do Software 47,32,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Won,Closed Won,Reseller,8,36772263,100,20190709111258551478
Media,Professional Datasolutions Inc,Rachel Reilly,001B000000SS4drIAD,75000,2018-09-27,162,Omitted,006B00000049Uy8IAE,true,false,Professional Datasolutions Inc 61,22,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18804072,0,20190709111258551478
Communications,Commercial Federal Bank Inc,Kristen Hughes,001B000000WJE2aIAH,25002,2018-04-08,334,Omitted,006B00000049Uy9IAE,true,false,Commercial Federal Bank Inc 75,1,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Telecoverage,9,28849418,0,20190709111258551478
Hospitality,Capstone Logistics,Courtney Brown,001B000000SS3gaIAD,31003,2018-07-19,236,Omitted,006B00000049UyAIAU,true,false,Capstone Logistics 86,6,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Reseller,9,20022639,0,20190709111258551478
Hospitality,Capstone Logistics,Courtney Brown,001B000000SS3gaIAD,50000,2018-06-06,304,Omitted,006B00000049UyBIAU,true,false,Capstone Logistics 88,43,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,25375822,0,20190709111258551478
Hospitality,Garage.com,Jordan Wolf,001B000000lwNpyIAE,10000,2018-10-16,143,Omitted,006B00000049UyCIAU,true,false,Garage.com 91,2,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,12391138,0,20190709111258551478
Hospitality,Garage.com,Jordan Wolf,001B000000lwNpyIAE,24925,2018-03-29,349,Closed,006B00000049UyDIAU,true,true,Garage.com 99,35,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Won,Closed Won,Reseller,8,30308881,100,20190709111258551478
Retail,Verilytics Technologies,Sheri Nunez,001B000000SS3gbIAD,150000,2018-11-05,122,Omitted,006B00000049UyEIAU,true,false,Verilytics Technologies 129,0,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18804072,0,20190709111258551478
Media,Ocean Waters Management,Amy Shaw,001B000000SS3gjIAD,5700,2018-06-26,255,Closed,006B00000049UyFIAU,true,true,Ocean Waters Management 184,33,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Won,Closed Won,Reseller,8,22359405,100,20190709111258551478
Agriculture,Concuity,Sheri Nunez,001B000000SS3gkIAD,10000,2019-01-25,49,Omitted,006B00000049UyGIAU,true,false,Concuity 192,39,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Telesales,9,18804072,0,20190709111258551478
Agriculture,Today  s Dallas Woman Magazine,Megan Kaufman,001B000000WJE2fIAH,50000,2018-04-26,316,Omitted,006B00000049UyHIAU,true,false,Today  s Dallas Woman Magazine 205,2,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Reseller,9,27272146,0,20190709111258551478
Other,GTP,Rachel Reilly,001B000000lwNpzIAE,40000,2019-03-31,5,Best Case,006B00000049UyIIAU,false,false,GTP 240,15,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Discovery,Reseller,0,532646,0,20190709111258551478
Other,GTP,Rachel Reilly,001B000000lwNpzIAE,50000,2018-12-08,94,Omitted,006B00000049UyJIAU,true,false,GTP 243,8,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Reseller,9,7745108,0,20190709111258551478
Shipping,Astra Tech,Kristen Hughes,001B000000SS3gmIAD,50000,2018-03-21,356,Omitted,006B00000049UyKIAU,true,false,Astra Tech 248,13,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,30812982,0,20190709111258551478
Insurance,Amherst,Courtney Brown,001B000000SS4dtIAD,55000,2018-11-21,125,Omitted,006B00000049UyLIAU,true,false,Amherst 5,23,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,18804072,0,20190709111258551478
Consulting,Jaco Electronics,Sheri Nunez,001B000000SS3goIAD,150000,2018-12-30,84,Omitted,006B00000049UyMIAU,true,false,Jaco Electronics 25,16,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,5912868,0,20190709111258551478
Construction,Gosling & Sachse,Courtney Brown,001B000000SS3gpIAD,375000,2018-12-16,85,Omitted,006B00000049UyNIAU,true,false,Gosling & Sachse 31,30,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18804072,0,20190709111258551478
Government,OSI Outsourcing Services Inc,Amy Shaw,001B000000lwNq0IAE,196094,2019-02-12,27,Omitted,006B00000049UyOIAU,true,false,OSI Outsourcing Services Inc 69,25,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,2425474,0,20190709111258551478
Manufacturing,Yipinet,Kristen Hughes,001B000000lwNq1IAE,5814,2018-01-03,432,Omitted,006B00000049UyPIAU,true,false,Yipinet 75,19,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,37273783,0,20190709111258551478
Biotechnology,General Motors - ACDelco,Beth Crawford,001B000000SS3gsIAD,15501,2018-06-28,290,Closed,006B00000049UyQIAU,true,true,General Motors - ACDelco 88,39,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Won,Closed Won,Reseller,8,23195612,100,20190709111258551478
Biotechnology,Thermo Uscs,Sheri Nunez,001B000000SS3gtIAD,5000,2018-04-26,320,Closed,006B00000049UyRIAU,true,true,Thermo Uscs 90,38,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Won,Closed Won,Reseller,8,28323864,100,20190709111258551478
Technology,Certek Software Designs Inc,Alyssa Williams,001B000000SS4duIAD,125000,2018-12-09,88,Omitted,006B00000049UySIAU,true,false,Certek Software Designs Inc 98,0,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,7624972,0,20190709111258551478
Utilities,Dimare Fresh Inc,Beth Crawford,001B000000SS4dwIAD,77507,2018-04-12,329,Omitted,006B00000049UyTIAU,true,false,Dimare Fresh Inc 121,0,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,28443772,0,20190709111258551478
Utilities,Dimare Fresh Inc,Beth Crawford,001B000000SS4dwIAD,42945,2017-12-18,483,Omitted,006B00000049UyUIAU,true,false,Dimare Fresh Inc 130,39,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,39367622,0,20190709111258551478
Utilities,Dimare Fresh Inc,Beth Crawford,001B000000SS4dwIAD,25000,2019-01-12,72,Omitted,006B00000049UyVIAU,true,false,Dimare Fresh Inc 133,17,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18804072,0,20190709111258551478
Apparel,Liberating Technologioes,Amy Shaw,001B000000SS4dxIAD,20000,2019-03-09,7,Commit,006B00000049UyWIAU,false,false,Liberating Technologioes 158,12,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Discovery,Fields Sales,0,615690,0,20190709111258551478
Transportation,Managers Fund,Beth Crawford,001B000000SS3guIAD,125000,2019-02-25,19,Commit,006B00000049UyXIAU,false,false,Managers Fund 167,20,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Qualification,Qualification,Fields Sales,2,18804072,20,20190709111258551478
Manufacturing,Rogerscasey,Beth Crawford,001B000000SS3gvIAD,25000,2018-09-20,169,Omitted,006B00000049UyYIAU,true,false,Rogerscasey 176,25,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,15618335,0,20190709111258551478
Insurance,DGI Technologies,Jordan Wolf,001B000000WJE2gIAH,271084,2018-09-21,196,Omitted,006B00000049UyZIAU,true,false,DGI Technologies 196,36,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18804072,0,20190709111258551478
Retail,F5(formerly Uroam )(formerly Filanet Cor,Sheri Nunez,001B000000WJE2hIAH,2642,2019-01-16,63,Omitted,006B00000049UyaIAE,true,false,F5(formerly Uroam )(formerly Filanet Cor 201,21,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Reseller,9,4397715,0,20190709111258551478
Shipping,Intranologycom Inc,Alicia Harrison,001B000000SS3gxIAD,3000,2019-01-17,70,Omitted,006B00000049UybIAE,true,false,Intranologycom Inc 217,27,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,5327344,0,20190709111258551478
Agriculture,Jackbolt Inc,Megan Kaufman,001B000000SS4e0IAD,5000,2017-12-24,460,Omitted,006B00000049UycIAE,true,false,Jackbolt Inc 225,26,Megan Kaufman,005B0000003CnfRIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,38760601,0,20190709111258551478
Hospitality,Torto Wheaton Research,Megan Kaufman,001B000000SS4e3IAD,20000,2018-07-25,229,Omitted,006B00000049UydIAE,true,false,Torto Wheaton Research 34,10,Megan Kaufman,005B0000003CnfRIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,19730487,0,20190709111258551478
Hospitality,Torto Wheaton Research,Megan Kaufman,001B000000SS4e3IAD,24540,2018-10-25,140,Omitted,006B00000049UyeIAE,true,false,Torto Wheaton Research 36,22,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,11619780,0,20190709111258551478
Electronics,F.N. Sheppard,Beth Crawford,001B000000bwMVYIA2,15000,2019-03-03,27,Best Case,006B00000049UyfIAE,false,false,F.N. Sheppard 59,27,Sheri Nunez,005B0000003CnfTIAS,Simple,Proposal/Quote,Proposal/Quote,Telesales,5,18804072,75,20190709111258551478
Electronics,F.N. Sheppard,Beth Crawford,001B000000bwMVYIA2,116261,2018-10-23,152,Omitted,006B00000049UygIAE,true,false,F.N. Sheppard 64,24,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,12623470,0,20190709111258551478
Manufacturing,TC Computers,John Peck,001B000000UkRxbIAF,19000,2018-04-15,329,Omitted,006B00000049UyrIAE,true,false,TC Computers 189,13,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Reseller,9,28188782,0,20190709111258551478
Electronics,Westfield Development Corp Vir,John Peck,001B000000SS3qYIAT,5000,2018-11-28,154,Omitted,006B00000049UysIAE,true,false,Westfield Development Corp Vir 206,63,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Reseller,9,18803964,0,20190709111258551478
Retail,Modesto Bee,John Peck,001B000000SS3qZIAT,55000,2019-05-24,21,Best Case,006B00000049UytIAE,false,false,Modesto Bee 229,22,John Peck,005B0000003CnffIAC,Simple,Qualification,Qualification,Fields Sales,2,18803964,20,20190709111258551478
Other,Automated Machinery,Sheri Nunez,001B000000lwNrdIAE,10000,2019-02-27,19,Best Case,006B00000049UyuIAE,false,false,Automated Machinery 4,82,Sheri Nunez,005B0000003CnfTIAS,Simple,Negotiation,Negotiation,Reseller,7,18803964,90,20190709111258551478
Banking,Optima Direct,Sheri Nunez,001B000000SS3qfIAD,0,2018-06-05,279,Omitted,006B00000049UyvIAE,true,false,Optima Direct 78,29,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,24186092,0,20190709111258551478
Environmental,L-Force Systems,Noah Kelly,001B000000lwNreIAE,306335,2018-05-14,349,Closed,006B00000049UywIAE,true,true,L-Force Systems 79,83,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Won,Fields Sales,8,26233251,100,20190709111258551478
Engineering,The Neiman Marcus Group,John Peck,001B000000SS3qgIAD,10000,2018-08-22,236,Omitted,006B00000049UyxIAE,true,false,The Neiman Marcus Group 89,87,John Peck,005B0000003CnffIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,17329233,0,20190709111258551478
Transportation,Corner Office Inc,Rachel Reilly,001B000000SS3qjIAD,25000,2018-10-31,181,Omitted,006B00000049UyyIAE,true,false,Corner Office Inc 129,58,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Reseller,9,11161618,0,20190709111258551478
Construction,Safenet Inc,John Peck,001B000000SS3qkIAD,21500,2017-12-22,498,Omitted,006B00000049UyzIAE,true,false,Safenet Inc 138,92,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,38618125,0,20190709111258551478
Construction,Safenet Inc,John Peck,001B000000SS3qkIAD,120000,2018-09-07,191,Omitted,006B00000049Uz0IAE,true,false,Safenet Inc 140,81,Allison Allen,005B0000003CnfGIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,16807786,0,20190709111258551478
Telecommunications,Polar Truck Sales,Amy Shaw,001B000000SS4kjIAD,115000,2018-03-05,404,Omitted,006B00000049Uz1IAE,true,false,Polar Truck Sales 187,36,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,31893237,0,20190709111258551478
Utilities,Condat,Sheri Nunez,001B000000SS3qoIAD,20000,2018-04-26,339,Omitted,006B00000049Uz2IAE,true,false,Condat 199,63,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,29671867,0,20190709111258551478
Environmental,Fibre Processing Corp,Alicia Harrison,001B000000SS3qpIAD,5000,2018-09-18,188,Omitted,006B00000049Uz3IAE,true,false,Fibre Processing Corp 208,20,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18803964,0,20190709111258551478
Consulting,IBT Enterprises,Philip Walton,001B000000lwNrgIAE,175000,2019-01-12,74,Omitted,006B00000049Uz4IAE,true,false,IBT Enterprises 219,37,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,6245237,0,20190709111258551478
Education,Superior Training Media,Alyssa Williams,001B000000SS4kkIAD,25000,2018-01-20,442,Omitted,006B00000049Uz5IAE,true,false,Superior Training Media 227,51,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,35673031,0,20190709111258551478
Education,Superior Training Media,Alyssa Williams,001B000000SS4kkIAD,0,2019-01-23,104,Omitted,006B00000049Uz6IAE,true,false,Superior Training Media 228,75,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,5629436,0,20190709111258551478
Banking,CS Business Systems,Alyssa Williams,001B000000SS3qqIAD,225000,2018-05-01,337,Omitted,006B00000049Uz7IAE,true,false,CS Business Systems 2,43,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,27587547,0,20190709111258551478
Banking,CS Business Systems,Alyssa Williams,001B000000SS3qqIAD,10000,2018-06-01,281,Omitted,006B00000049Uz8IAE,true,false,CS Business Systems 3,35,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,24869976,0,20190709111258551478
Food & Beverage,Techspace,Amy Shaw,001B000000SS3qsIAD,21000,2018-12-07,125,Closed,006B00000049Uz9IAE,true,true,Techspace 30,81,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Won,Closed Won,Fields Sales,8,18803964,100,20190709111258551478
Food & Beverage,MissileLock,Alicia Harrison,001B000000SS4koIAD,55000,2018-05-03,325,Omitted,006B00000049UzAIAU,true,false,MissileLock 38,39,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,27224546,0,20190709111258551478
Food & Beverage,MissileLock,Alicia Harrison,001B000000SS4koIAD,41250,2019-05-18,21,Best Case,006B00000049UzBIAU,false,false,MissileLock 41,24,Wayne Blackwell,005B0000003CnfUIAS,Channel (Partner),Discovery,Discovery,Reseller,0,18803964,0,20190709111258551478
Food & Beverage,MissileLock,Alicia Harrison,001B000000SS4koIAD,975,2019-03-21,20,Best Case,006B00000049UzCIAU,false,false,MissileLock 43,33,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Proposal/Quote,Reseller,5,1363710,75,20190709111258551478
Food & Beverage,MissileLock,Alicia Harrison,001B000000SS4koIAD,12500,2018-04-07,346,Omitted,006B00000049UzDIAU,true,false,MissileLock 44,25,Noah Kelly,005B0000003CnfJIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,29250394,0,20190709111258551478
Food & Beverage,MissileLock,Alicia Harrison,001B000000SS4koIAD,6500,2018-09-27,182,Omitted,006B00000049UzEIAU,true,false,MissileLock 45,71,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Reseller,9,16174506,0,20190709111258551478
Entertainment,Unica Corporation / North Kingstown Office Corporation,Wayne Blackwell,001B000000SS3qtIAD,5500,2018-10-01,171,Omitted,006B00000049UzFIAU,true,false,Unica Corporation / North Kingstown Office Corporation 56,79,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Reseller,9,16174506,0,20190709111258551478
Retail,Inter-Con Security Systems,Amy Shaw,001B000000SS3quIAD,125000,2018-11-24,181,Omitted,006B00000049UzGIAU,true,false,Inter-Con Security Systems 68,77,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,9056217,0,20190709111258551478
Government,Raytheon - Space & Airborne Systems,Sheri Nunez,001B000000bwMXPIA2,60000,2019-04-27,30,Commit,006B00000049UzHIAU,false,false,Raytheon - Space & Airborne Systems 119,37,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Discovery,Fields Sales,0,2951439,0,20190709111258551478
Environmental,Viacom PARENT,Philip Walton,001B000000bwMXQIA2,10000,2018-01-03,462,Omitted,006B00000049UzIIAU,true,false,Viacom PARENT 128,46,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38440640,0,20190709111258551478
Engineering,Fluor Enterprises,Rachel Reilly,001B000000lwNrhIAE,5000,2018-07-12,266,Omitted,006B00000049UzJIAU,true,false,Fluor Enterprises 165,50,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,21022860,0,20190709111258551478
Insurance,The Zondervan Corporation,Dennis Huffman,001B000000SS3qwIAD,23252,2018-07-20,238,Omitted,006B00000049UzKIAU,true,false,The Zondervan Corporation 175,20,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Reseller,9,20042100,0,20190709111258551478
Hospitality,Exhibitgroup/Giltspur,Philip Walton,001B000000SS3qzIAD,250000,2019-03-09,54,Pipeline,006B00000049UzLIAU,false,false,Exhibitgroup/Giltspur 191,76,Philip Walton,005B0000003CnfHIAS,Simple,Proposal/Quote,Proposal/Quote,Fields Sales,5,18803964,75,20190709111258551478
Media,eAngler,Dennis Huffman,001B000000SS3r1IAD,50000,2019-03-03,22,Best Case,006B00000049UzMIAU,false,false,eAngler 210,25,Dennis Huffman,005B0000003CnfIIAS,Simple,Discovery,Discovery,Reseller,0,18803964,0,20190709111258551478
Construction,Prestige International,Wayne Blackwell,001B000000SS3r3IAD,5000,2018-10-04,199,Omitted,006B00000049UzNIAU,true,false,Prestige International 244,72,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,16174519,0,20190709111258551478
Chemicals,MediaPrise,Wayne Blackwell,001B000000SS3r6IAD,7475,2019-03-19,68,Best Case,006B00000049UzOIAU,false,false,MediaPrise 17,70,Philip Walton,005B0000003CnfHIAS,Simple,Proposal/Quote,Proposal/Quote,Reseller,5,18803964,75,20190709111258551478
Retail,United Online,Amy Shaw,001B000000lwNriIAE,15000,2018-09-07,185,Omitted,006B00000049UzPIAU,true,false,United Online 29,6,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Reseller,9,18803964,0,20190709111258551478
Environmental,Hill Holliday,Wayne Blackwell,001B000000SS4kxIAD,0,2017-12-15,469,Closed,006B00000049UzQIAU,true,true,Hill Holliday 56,55,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Won,Closed Won,Fields Sales,8,39698351,100,20190709111258551478
Environmental,Hill Holliday,Wayne Blackwell,001B000000SS4kxIAD,4000,2018-12-27,74,Omitted,006B00000049UzRIAU,true,false,Hill Holliday 57,46,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803964,0,20190709111258551478
Education,US Pharma,John Peck,001B000000SS4kzIAD,52500,2018-09-11,200,Omitted,006B00000049UzSIAU,true,false,US Pharma 107,31,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,16174519,0,20190709111258551478
Education,US Pharma,John Peck,001B000000SS4kzIAD,100000,2018-10-06,164,Omitted,006B00000049UzTIAU,true,false,US Pharma 110,74,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,16174519,0,20190709111258551478
Transportation,SoftPilot,Allison Allen,001B000000SS3r9IAD,10000,2018-11-27,102,Omitted,006B00000049UzUIAU,true,false,SoftPilot 124,13,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803964,0,20190709111258551478
Insurance,CHPS Consulting,Sheri Nunez,001B000000WJE6IIAX,1844,2019-01-28,47,Omitted,006B00000049UzVIAU,true,false,CHPS Consulting 173,87,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803964,0,20190709111258551478
Hospitality,CEC Document Svc,Alicia Harrison,001B000000SS3rDIAT,125000,2018-09-30,174,Omitted,006B00000049UzWIAU,true,false,CEC Document Svc 183,26,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,14747196,0,20190709111258551478
Other,Lower Colorado River Authority,Rachel Reilly,001B000000SS4l1IAD,50000,2019-03-20,23,Commit,006B00000049UzXIAU,false,false,Lower Colorado River Authority 219,51,Allison Allen,005B0000003CnfGIAS,Channel (Partner),Negotiation,Negotiation,Fields Sales,7,18803964,90,20190709111258551478
